# Hp07_10cm_shield_Otto2016
#     unit:            uSv/h/GBq
#A    isotope    Hp07_10cm_shield
138   Cs                  4300.0
138   Cs_isomer           2600.0
139   Cs                   400.0
140   Cs                  3000.0
124   Ba                  5100.0
126   Ba                  5000.0
127   Ba                  5300.0
128   Ba                  2400.0
129   Ba                  3500.0
129   Ba_isomer           8900.0
131   Ba                  6100.0
131   Ba_isomer           2100.0
133   Ba                  6900.0
133   Ba_isomer           2100.0
135   Ba_isomer           1800.0
137   Ba_isomer           2600.0
139   Ba                   800.0
140   Ba                  1800.0
141   Ba                  5800.0
142   Ba                  4500.0
128   La                 13900.0
129   La                  7200.0
130   La                 10800.0
131   La                  6500.0
132   La                  8300.0
132   La_isomer           5300.0
133   La                  2700.0
134   La                  4600.0
135   La                  1800.0
136   La                  3400.0
137   La                  1700.0
138   La                  2900.0
140   La                  4900.0
141   La                     0.0
142   La                  3100.0
143   La                   500.0
130   Ce                  5600.0
131   Ce                  9100.0
132   Ce                  5500.0
133   Ce                  6300.0
133   Ce_isomer           8600.0
134   Ce                  1700.0
135   Ce                  7100.0
137   Ce                  1900.0
137   Ce_isomer           1600.0
139   Ce                  4100.0
141   Ce                  1600.0
143   Ce                  3600.0
144   Ce                   500.0
145   Ce                  5100.0
134   Pr                 16300.0
134   Pr_isomer          10100.0
135   Pr                  6900.0
136   Pr                  9300.0
137   Pr                  3000.0
138   Pr                  5000.0
138   Pr_isomer          10800.0
139   Pr                  2000.0
140   Pr                  3900.0
142   Pr                   100.0
142   Pr_isomer              0.0
143   Pr                     0.0
144   Pr                     0.0
144   Pr_isomer            600.0
145   Pr                   100.0
146   Pr                  2700.0
147   Pr                  4300.0
148   Pr                  3800.0
148   Pr_isomer           6200.0
134   Nd                  6300.0
135   Nd                 10100.0
136   Nd                  4200.0
137   Nd                  6800.0
138   Nd                  1800.0
139   Nd                  3300.0
139   Nd_isomer           7200.0
140   Nd                  1600.0
141   Nd                  1800.0
141   Nd_isomer           2300.0
144   Nd                     0.0
147   Nd                  1900.0
149   Nd                  4400.0
151   Nd                  4500.0
152   Nd                  2500.0
136   Pm                 14000.0
137   Pm_isomer          12900.0
139   Pm                  5700.0
140   Pm                  5900.0
140   Pm_isomer          12500.0
141   Pm                  4200.0
142   Pm                  5000.0
143   Pm                  2400.0
144   Pm                  8300.0
145   Pm                  1500.0
146   Pm                  4500.0
147   Pm                     0.0
148   Pm                  1400.0
148   Pm_isomer           9300.0
149   Pm                   100.0
150   Pm                  4800.0
151   Pm                  3500.0
152   Pm                  1200.0
152   Pm_isomer           7700.0
153   Pm                  1600.0
154   Pm                  3300.0
154   Pm_isomer           6700.0
139   Sm                  9000.0
140   Sm                  4000.0
141   Sm                  7300.0
141   Sm_isomer           9900.0
142   Sm                  1800.0
143   Sm                  3600.0
143   Sm_isomer           2300.0
145   Sm                  2800.0
146   Sm                     0.0
147   Sm                     0.0
148   Sm                     0.0
151   Sm                     0.0
153   Sm                  1700.0
155   Sm                  1900.0
156   Sm                  2200.0
157   Sm                  4100.0
142   Eu                  6100.0
142   Eu_isomer          13400.0
143   Eu                  5400.0
144   Eu                  5600.0
145   Eu                  4200.0
146   Eu                  8300.0
147   Eu                  4300.0
148   Eu                 10500.0
