#     unit:            uSv/h/GBq
#A    isotope    Hp10_100cm_unshield
162   Tm                   448.0
163   Tm                   207.0
164   Tm                   159.0
165   Tm                   104.0
166   Tm                   289.0
167   Tm                    33.0
168   Tm                   211.0
170   Tm                     1.0
171   Tm                     0.0
172   Tm                    69.0
173   Tm                    68.0
174   Tm                   291.0
175   Tm                   175.0
176   Tm                   439.0
162   Yb                    50.0
163   Yb                    92.0
164   Yb                    15.0
165   Yb                    54.0
166   Yb                    25.0
167   Yb                    60.0
169   Yb                    75.0
175   Yb                     7.0
177   Yb                    31.0
178   Yb                     7.0
179   Yb                   163.0
165   Lu                   161.0
167   Lu                   245.0
169   Lu                   202.0
169   Lu_isomer              0.0
170   Lu                   341.0
171   Lu                   117.0
171   Lu_isomer              0.0
172   Lu                   306.0
172   Lu_isomer              0.0
173   Lu                    42.0
174   Lu                    24.0
174   Lu_isomer             16.0
176   Lu                    87.0
176   Lu_isomer              3.0
177   Lu                     7.0
177   Lu_isomer            184.0
178   Lu                    20.0
178   Lu_isomer            189.0
179   Lu                     5.0
180   Lu                   231.0
181   Lu                   100.0
167   Hf                   105.0
169   Hf                    97.0
170   Hf                    82.0
172   Hf                    31.0
173   Hf                    76.0
174   Hf                     0.0
175   Hf                    67.0
177   Hf_isomer            412.0
178   Hf_isomer            392.0
179   Hf_isomer            168.0
180   Hf_isomer            178.0
181   Hf                    94.0
182   Hf                    43.0
182   Hf_isomer            159.0
183   Hf                   129.0
184   Hf                    45.0
170   Ta                  2016.0
172   Ta                   311.0
173   Ta                    84.0
174   Ta                   150.0
175   Ta                   173.0
176   Ta                   313.0
177   Ta                    16.0
178   Ta                    22.0
178   Ta_isomer            212.0
179   Ta                     7.0
180   Ta                    12.0
182   Ta                   196.0
182   Ta_isomer             52.0
183   Ta                    58.0
184   Ta                   261.0
185   Ta                    30.0
186   Ta                   361.0
177   W                    158.0
178   W                      4.0
179   W                     17.0
179   W_isomer              12.0
181   W                     10.0
185   W                      0.0
185   W_isomer               5.0
187   W                     76.0
188   W                      0.0
190   W                     32.0
178   Re                   388.0
179   Re                   174.0
180   Re                   180.0
181   Re                   139.0
182   Re                   289.0
182   Re_isomer            186.0
183   Re                    34.0
184   Re                   146.0
184   Re_isomer             67.0
186   Re                     4.0
186   Re_isomer              5.0
187   Re                     0.0
188   Re                    12.0
188   Re_isomer             16.0
189   Re                    10.0
190   Re                   224.0
190   Re_isomer            159.0
180   Os                    29.0
181   Os                   215.0
182   Os                    79.0
183   Os                   114.0
183   Os_isomer            155.0
185   Os                   116.0
186   Os                     0.0
189   Os_isomer              0.0
190   Os_isomer            271.0
191   Os                    18.0
191   Os_isomer              2.0
193   Os                    13.0
194   Os                     2.0
196   Os                    15.0
180   Ir                  1360.0
182   Ir                   959.0
183   Ir                   172.0
184   Ir                   314.0
185   Ir                   127.0
186   Ir                   254.0
186   Ir_isomer            183.0
187   Ir                    59.0
188   Ir                   288.0
189   Ir                    18.0
190   Ir                   253.0
190   Ir_isomer              0.0
190   Irn                   14.0
191   Ir_isomer             17.0
192   Ir                   142.0
192   Ir_isomer              1.0
192   Irn                    2.0
193   Ir_isomer              0.0
194   Ir                    17.0
194   Ir_isomer            395.0
195   Ir                    14.0
195   Ir_isomer             67.0
196   Ir                   198.0
196   Ir_isomer            419.0
184   Pt                   134.0
186   Pt                   118.0
187   Pt                   101.0
188   Pt                    41.0
189   Pt                    87.0
190   Pt                     0.0
191   Pt                    58.0
193   Pt                     1.0
193   Pt_isomer              3.0
195   Pt_isomer             19.0
197   Pt                     6.0
197   Pt_isomer             18.0
199   Pt                    34.0
200   Pt                    13.0
202   Pt                     1.0
186   Au                  1208.0
187   Au                   153.0
190   Au                   332.0
191   Au                   106.0
192   Au                   267.0
193   Au                    35.0
193   Au_isomer             37.0
194   Au                   156.0
195   Au                    20.0
195   Au_isomer             38.0
196   Au                    86.0
196   Au_isomer             51.0
198   Au                    70.0
198   Au_isomer            101.0
199   Au                    19.0
200   Au                    43.0
200   Au_isomer            336.0
201   Au                     6.0
202   Au                    93.0
190   Hg                    42.0
191   Hg_isomer            238.0
192   Hg                    55.0
193   Hg                   132.0
193   Hg_isomer            162.0
194   Hg                     1.0
195   Hg                    38.0
195   Hg_isomer             40.0
197   Hg                    18.0
197   Hg_isomer             21.0
199   Hg_isomer             36.0
203   Hg                    43.0
205   Hg                     1.0
206   Hg                    22.0
207   Hg                   393.0
190   Tl                  2484.0
190   Tl_isomer            943.0
194   Tl                   522.0
194   Tl_isomer            408.0
195   Tl                   180.0
196   Tl                   276.0
197   Tl                    77.0
198   Tl                   293.0
198   Tl_isomer            208.0
199   Tl                    48.0
200   Tl                   208.0
201   Tl                    22.0
202   Tl                    85.0
204   Tl                     0.0
206   Tl                     0.0
206   Tl_isomer            398.0
207   Tl                     0.0
208   Tl                   440.0
209   Tl                   315.0
210   Tl                  1142.0
194   Pb                   172.0
195   Pb_isomer            267.0
196   Pb                    91.0
197   Pb                   228.0
197   Pb_isomer            197.0
198   Pb                    82.0
199   Pb                   158.0
200   Pb                    44.0
201   Pb                   130.0
201   Pb_isomer             62.0
202   Pb                     1.0
202   Pb_isomer            322.0
203   Pb                    61.0
204   Pb_isomer            328.0
205   Pb                     1.0
209   Pb                     0.0
210   Pb                     4.0
211   Pb                    11.0
212   Pb                    28.0
214   Pb                    46.0
197   Bi                   261.0
200   Bi                   396.0
201   Bi                   256.0
202   Bi                   429.0
203   Bi                   348.0
204   Bi                   453.0
205   Bi                   247.0
206   Bi                   514.0
207   Bi                   243.0
208   Bi                   310.0
210   Bi                     0.0
210   Bi_isomer             47.0
211   Bi                     8.0
212   Bi                    17.0
212   Bin                    0.0
213   Bi                    22.0
214   Bi                   253.0
215   Bi                    44.0
216   Bi                   429.0
203   Po                   246.0
204   Po                   200.0
205   Po                   244.0
206   Po                   202.0
207   Po                   204.0
208   Po                     0.0
209   Po                     1.0
210   Po                     0.0
211   Po                     1.0
212   Po                     0.0
212   Po_isomer             10.0
213   Po                     0.0
214   Po                     0.0
215   Po                     0.0
216   Po                     0.0
218   Po                     0.0
204   At                   510.0
205   At                   234.0
206   At                   455.0
207   At                   308.0
208   At                   474.0
209   At                   377.0
210   At                   438.0
211   At                    10.0
215   At                     0.0
216   At                     1.0
217   At                     0.0
218   At                     0.0
219   At                     0.0
220   At                   312.0
207   Rn                   173.0
209   Rn                   185.0
210   Rn                    11.0
211   Rn                   294.0
212   Rn                     0.0
215   Rn                     0.0
216   Rn                     0.0
217   Rn                     0.0
218   Rn                     0.0
219   Rn                    10.0
220   Rn                     0.0
222   Rn                     0.0
223   Rn                    62.0
212   Fr                   176.0
219   Fr                     1.0
220   Fr                     3.0
221   Fr                     6.0
222   Fr                    38.0
223   Fr                    19.0
224   Fr                   100.0
227   Fr                    84.0
219   Ra                    31.0
220   Ra                     1.0
221   Ra                    10.0
222   Ra                     2.0
223   Ra                    29.0
224   Ra                     2.0
225   Ra                     9.0
226   Ra                     1.0
227   Ra                    37.0
228   Ra                     4.0
230   Ra                    17.0
223   Ac                     5.0
224   Ac                    51.0
225   Ac                     6.0
226   Ac                    28.0
227   Ac                     1.0
228   Ac                   141.0
230   Ac                   117.0
231   Ac                    80.0
232   Ac                   269.0
233   Ac                    88.0
223   Th                    20.0
224   Th                     5.0
226   Th                     3.0
227   Th                    34.0
228   Th                     2.0
229   Th                    32.0
230   Th                     2.0
231   Th                    21.0
232   Th                     2.0
233   Th                     9.0
234   Th                     4.0
235   Th                    10.0
236   Th                     7.0
227   Pa                     9.0
228   Pa                   232.0
229   Pa                    20.0
230   Pa                   119.0
231   Pa                    19.0
232   Pa                   159.0
233   Pa                    50.0
234   Pa                   252.0
234   Pa_isomer              4.0
235   Pa                     0.0
236   Pa                   150.0
237   Pa                    99.0
227   U                     28.0
228   U                      3.0
230   U                      3.0
231   U                     41.0
232   U                      3.0
233   U                      1.0
234   U                      2.0
235   U                     36.0
235   U_isomer               0.0
236   U                      2.0
237   U                     42.0
238   U                      2.0
239   U                     14.0
240   U                      8.0
242   U                      8.0
232   Np                   211.0
233   Np                    25.0
234   Np                   171.0
235   Np                     8.0
236   Np                    58.0
236   Np_isomer             15.0
237   Np                    20.0
238   Np                    97.0
239   Np                    46.0
240   Np                   190.0
240   Np_isomer             59.0
241   Np                    11.0
242   Np                    54.0
242   Np_isomer            168.0
232   Pu                    18.0
234   Pu                    21.0
235   Pu                    30.0
236   Pu                     3.0
237   Pu                    20.0
238   Pu                     3.0
239   Pu                     1.0
240   Pu                     3.0
241   Pu                     0.0
242   Pu                     2.0
243   Pu                     8.0
244   Pu                    12.0
245   Pu                    71.0
246   Pu                    39.0
237   Am                    80.0
238   Am                   154.0
239   Am                    67.0
240   Am                   179.0
241   Am                    16.0
242   Am                    10.0
242   Am_isomer              7.0
243   Am                    17.0
244   Am                   153.0
244   Am_isomer              6.0
245   Am                     8.0
246   Am                   157.0
246   Am_isomer            156.0
247   Am                    31.0
238   Cm                    25.0
239   Cm                    59.0
240   Cm                     3.0
241   Cm                   109.0
242   Cm                     3.0
243   Cm                    35.0
244   Cm                     2.0
245   Cm                    32.0
246   Cm                     3.0
247   Cm                    55.0
248   Cm                   861.0
249   Cm                     3.0
250   Cm                 27729.0
251   Cm                    20.0
245   Bk                    60.0
246   Bk                   156.0
247   Bk                    31.0
248   Bk_isomer             16.0
249   Bk                     0.0
250   Bk                   141.0
251   Bk                    28.0
244   Cf                     3.0
246   Cf                     2.0
247   Cf                    40.0
248   Cf                     2.0
