# Hp10_100cm_shield_Otto2016
#     unit:            uSv/h/GBq
#A    isotope    Hp10_100cm_shield
144   Pm                   267.0
145   Pm                    15.0
146   Pm                   132.0
147   Pm                     0.0
148   Pm                    85.0
148   Pm_isomer            327.0
149   Pm                     2.0
150   Pm                   220.0
151   Pm                    60.0
152   Pm                    45.0
152   Pm_isomer            238.0
153   Pm                    18.0
154   Pm                   247.0
154   Pm_isomer            271.0
139   Sm                   243.0
140   Sm                   100.0
141   Sm                   230.0
141   Sm_isomer            315.0
142   Sm                    28.0
143   Sm                    94.0
143   Sm_isomer            111.0
145   Sm                    29.0
146   Sm                     0.0
147   Sm                     0.0
148   Sm                     0.0
151   Sm                     0.0
153   Sm                    19.0
155   Sm                    21.0
156   Sm                    23.0
157   Sm                    71.0
142   Eu                   197.0
142   Eu_isomer            551.0
143   Eu                   182.0
144   Eu                   180.0
145   Eu                   198.0
146   Eu                   377.0
147   Eu                    88.0
148   Eu                   365.0
149   Eu                    21.0
150   Eu                   267.0
150   Eu_isomer              9.0
152   Eu                   189.0
152   Eu_isomer             49.0
152   Eun                   17.0
154   Eu                   193.0
154   Eu_isomer             20.0
155   Eu                    14.0
156   Eu                   174.0
157   Eu                    58.0
158   Eu                   194.0
159   Eu                    60.0
142   Gd                   172.0
143   Gd_isomer            345.0
144   Gd                   143.0
145   Gd                   328.0
145   Gd_isomer            113.0
146   Gd                    65.0
147   Gd                   236.0
148   Gd                     0.0
149   Gd                   101.0
150   Gd                     0.0
151   Gd                    22.0
152   Gd                     0.0
153   Gd                    32.0
159   Gd                    11.0
162   Gd                    73.0
146   Tb                   518.0
147   Tb                   334.0
147   Tb_isomer            277.0
148   Tb                   357.0
148   Tb_isomer            514.0
149   Tb                   213.0
149   Tb_isomer            229.0
150   Tb                   341.0
150   Tb_isomer            425.0
151   Tb                   177.0
151   Tb_isomer             16.0
152   Tb                   229.0
152   Tb_isomer            139.0
153   Tb                    67.0
154   Tb                   313.0
155   Tb                    44.0
156   Tb                   308.0
156   Tb_isomer             12.0
156   Tbn                    1.0
157   Tb                     2.0
158   Tb                   134.0
160   Tb                   175.0
161   Tb                    15.0
162   Tb                   181.0
163   Tb                   137.0
164   Tb                   376.0
165   Tb                   121.0
148   Dy                   125.0
149   Dy                   250.0
150   Dy                    53.0
151   Dy                   218.0
152   Dy                    58.0
153   Dy                   154.0
154   Dy                     0.0
155   Dy                   115.0
157   Dy                    69.0
159   Dy                    17.0
165   Dy                     5.0
165   Dy_isomer              4.0
166   Dy                    12.0
167   Dy                    92.0
168   Dy                    71.0
150   Ho                   312.0
153   Ho                   176.0
153   Ho_isomer            185.0
154   Ho                   308.0
154   Ho_isomer            413.0
155   Ho                   108.0
156   Ho                   328.0
157   Ho                   111.0
159   Ho                    80.0
160   Ho                   277.0
161   Ho                    24.0
162   Ho                    34.0
162   Ho_isomer             96.0
163   Ho                     0.0
164   Ho                    10.0
164   Ho_isomer             16.0
166   Ho                     5.0
166   Ho_isomer            269.0
167   Ho                    66.0
168   Ho                   140.0
168   Ho_isomer              2.0
170   Ho                   271.0
154   Er                    26.0
156   Er                    22.0
159   Er                   157.0
161   Er                   163.0
163   Er                    13.0
165   Er                    13.0
167   Er_isomer             19.0
169   Er                     0.0
171   Er                    69.0
172   Er                    92.0
173   Er                   140.0
161   Tm                   210.0
162   Tm                   276.0
163   Tm                   208.0
164   Tm                   126.0
165   Tm                   104.0
166   Tm                   291.0
167   Tm                    33.0
168   Tm                   211.0
170   Tm                     1.0
171   Tm                     0.0
172   Tm                    68.0
173   Tm                    68.0
174   Tm                   291.0
175   Tm                   175.0
176   Tm                   285.0
162   Yb                    50.0
163   Yb                   119.0
164   Yb                    15.0
165   Yb                    65.0
166   Yb                    25.0
167   Yb                    61.0
169   Yb                    75.0
175   Yb                     7.0
177   Yb                    31.0
178   Yb                     7.0
179   Yb                   163.0
165   Lu                   182.0
167   Lu                   253.0
169   Lu                   203.0
169   Lu_isomer              0.0
170   Lu                   341.0
171   Lu                   117.0
171   Lu_isomer              0.0
172   Lu                   306.0
172   Lu_isomer              0.0
173   Lu                    42.0
174   Lu                    24.0
174   Lu_isomer             16.0
176   Lu                    87.0
176   Lu_isomer              3.0
177   Lu                     7.0
177   Lu_isomer            184.0
178   Lu                    19.0
178   Lu_isomer            189.0
179   Lu                     5.0
180   Lu                   229.0
181   Lu                    98.0
167   Hf                   110.0
169   Hf                   115.0
170   Hf                    82.0
172   Hf                    31.0
173   Hf                    76.0
174   Hf                     0.0
175   Hf                    67.0
177   Hf_isomer            412.0
178   Hf_isomer            392.0
179   Hf_isomer            168.0
180   Hf_isomer            178.0
181   Hf                    94.0
182   Hf                    43.0
182   Hf_isomer            159.0
183   Hf                   129.0
184   Hf                    45.0
170   Ta                   180.0
172   Ta                   266.0
173   Ta                    98.0
174   Ta                   156.0
175   Ta                   174.0
176   Ta                   312.0
177   Ta                    16.0
178   Ta                    24.0
178   Ta_isomer            212.0
179   Ta                     7.0
180   Ta                    12.0
182   Ta                   196.0
182   Ta_isomer             52.0
183   Ta                    58.0
184   Ta                   261.0
185   Ta                    29.0
186   Ta                   238.0
177   W                    158.0
178   W                      4.0
179   W                     17.0
179   W_isomer              12.0
181   W                     10.0
185   W                      0.0
185   W_isomer               5.0
187   W                     76.0
188   W                      0.0
190   W                     32.0
178   Re                   242.0
179   Re                   176.0
180   Re                   193.0
181   Re                   139.0
182   Re                   289.0
182   Re_isomer            188.0
183   Re                    34.0
184   Re                   146.0
